"Statistic Label","Year","Electoral Division","UNIT","VALUE"
"Median Gross Household Income","2022","Clontarf East E, Dublin City","€","92618"
"Median Gross Household Income","2022","Clontarf West A, Dublin City","€","76902"
"Median Gross Household Income","2022","Clontarf West B, Dublin City","€","56943"
"Median Gross Household Income","2022","Clontarf West C, Dublin City","€","82587"
"Median Gross Household Income","2022","Clontarf West D, Dublin City","€","61114"
"Median Gross Household Income","2022","Clontarf West E, Dublin City","€","79440"
"Median Gross Household Income","2022","Crumlin A, Dublin City","€","58275"
"Median Gross Household Income","2022","Crumlin B, Dublin City","€","52357"
"Median Gross Household Income","2022","Crumlin C, Dublin City","€","57394"
"Median Gross Household Income","2022","Crumlin D, Dublin City","€","55493"
"Median Gross Household Income","2022","Crumlin E, Dublin City","€","52885"
"Median Gross Household Income","2022","Crumlin F, Dublin City","€","60005"
"Median Gross Household Income","2022","Decies, Dublin City","€","46888"
"Median Gross Household Income","2022","Drumcondra South A, Dublin City","€","85016"
"Median Gross Household Income","2022","Drumcondra South B, Dublin City","€","63154"
"Median Gross Household Income","2022","Drumcondra South C, Dublin City","€","74618"
"Median Gross Household Income","2022","Drumfinn, Dublin City","€","48674"
"Median Gross Household Income","2022","Edenmore, Dublin City","€","52332"
"Median Gross Household Income","2022","Finglas North A, Dublin City","€","47995"
"Median Gross Household Income","2022","Finglas North B, Dublin City","€","48960"
"Median Gross Household Income","2022","Finglas North C, Dublin City","€","62744"
"Median Gross Household Income","2022","Finglas South A, Dublin City","€","50155"
"Median Gross Household Income","2022","Finglas South B, Dublin City","€","49813"
"Median Gross Household Income","2022","Finglas South C, Dublin City","€","50684"
"Median Gross Household Income","2022","Finglas South D, Dublin City","€","50994"
"Median Gross Household Income","2022","Grace Park, Dublin City","€","79470"
"Median Gross Household Income","2022","Grange A, Dublin City","€","77641"
"Median Gross Household Income","2022","Grange B, Dublin City","€","74263"
"Median Gross Household Income","2022","Grange C, Dublin City","€","56132"
"Median Gross Household Income","2022","Grange D, Dublin City","€","61666"
"Median Gross Household Income","2022","Grange E, Dublin City","€","55567"
"Median Gross Household Income","2022","Harmonstown A, Dublin City","€","58609"
"Median Gross Household Income","2022","Harmonstown B, Dublin City","€","68936"
"Median Gross Household Income","2022","Inchicore A, Dublin City","€","57041"
"Median Gross Household Income","2022","Inchicore B, Dublin City","€","45049"
"Median Gross Household Income","2022","Inns Quay A, Dublin City","€","60888"
"Median Gross Household Income","2022","Inns Quay B, Dublin City","€","48435"
"Median Gross Household Income","2022","Inns Quay C, Dublin City","€","48718"
"Median Gross Household Income","2022","Kilmainham A, Dublin City","€","48321"
"Median Gross Household Income","2022","Kilmainham B, Dublin City","€","73489"
"Median Gross Household Income","2022","Kilmainham C, Dublin City","€","59545"
"Median Gross Household Income","2022","Kilmore A, Dublin City","€","72872"
"Median Gross Household Income","2022","Kilmore B, Dublin City","€","46639"
"Median Gross Household Income","2022","Kilmore C, Dublin City","€","49876"
"Median Gross Household Income","2022","Kilmore D, Dublin City","€","52940"
"Median Gross Household Income","2022","Kimmage A, Dublin City","€","53079"
"Median Gross Household Income","2022","Kimmage B, Dublin City","€","53195"
"Median Gross Household Income","2022","Kimmage C, Dublin City","€","74987"
"Median Gross Household Income","2022","Kimmage D, Dublin City","€","59917"
"Median Gross Household Income","2022","Kimmage E, Dublin City","€","54305"
"Median Gross Household Income","2022","Kylemore, Dublin City","€","48654"
"Median Gross Household Income","2022","Mansion House A, Dublin City","€","51082"
"Median Gross Household Income","2022","Mansion House B, Dublin City","€","78788"
"Median Gross Household Income","2022","Merchants Quay A, Dublin City","€","43021"
"Median Gross Household Income","2022","Merchants Quay B, Dublin City","€","55724"
"Median Gross Household Income","2022","Merchants Quay C, Dublin City","€","53950"
"Median Gross Household Income","2022","Merchants Quay D, Dublin City","€","74834"
"Median Gross Household Income","2022","Merchants Quay E, Dublin City","€","67052"
"Median Gross Household Income","2022","Merchants Quay F, Dublin City","€","53955"
"Median Gross Household Income","2022","Mountjoy A, Dublin City","€","42591"
"Median Gross Household Income","2022","Mountjoy B, Dublin City","€","46845"
"Median Gross Household Income","2022","North City, Dublin City","€","57782"
"Median Gross Household Income","2022","North Dock A, Dublin City","€","63621"
"Median Gross Household Income","2022","North Dock B, Dublin City","€","74734"
"Median Gross Household Income","2022","North Dock C, Dublin City","€","65165"
"Median Gross Household Income","2022","Pembroke East A, Dublin City","€","66385"
"Median Gross Household Income","2022","Pembroke East B, Dublin City","€","103737"
"Median Gross Household Income","2022","Pembroke East C, Dublin City","€","99125"
"Median Gross Household Income","2022","Pembroke East D, Dublin City","€","84215"
"Median Gross Household Income","2022","Pembroke East E, Dublin City","€","108704"
"Median Gross Household Income","2022","Pembroke West A, Dublin City","€","98706"
"Median Gross Household Income","2022","Pembroke West B, Dublin City","€","119866"
"Median Gross Household Income","2022","Pembroke West C, Dublin City","€","84817"
"Median Gross Household Income","2022","Phoenix Park, Dublin City","€","69548"
"Median Gross Household Income","2022","Priorswood A, Dublin City","€","61246"
"Median Gross Household Income","2022","Priorswood B, Dublin City","€","50255"
"Median Gross Household Income","2022","Priorswood C, Dublin City","€","51020"
"Median Gross Household Income","2022","Priorswood D, Dublin City","€","54389"
"Median Gross Household Income","2022","Priorswood E, Dublin City","€","62760"
"Median Gross Household Income","2022","Raheny-Foxfield, Dublin City","€","67016"
"Median Gross Household Income","2022","Raheny-Greendale, Dublin City","€","54753"
"Median Gross Household Income","2022","Raheny-St. Assam, Dublin City","€","87302"
"Median Gross Household Income","2022","Rathfarnham, Dublin City","€","89790"
"Median Gross Household Income","2022","Rathmines East A, Dublin City","€","78896"
"Median Gross Household Income","2022","Rathmines East B, Dublin City","€","105697"
"Median Gross Household Income","2022","Rathmines East C, Dublin City","€","96757"
"Median Gross Household Income","2022","Rathmines East D, Dublin City","€","95751"
"Median Gross Household Income","2022","Rathmines West A, Dublin City","€","61981"
"Median Gross Household Income","2022","Rathmines West B, Dublin City","€","66442"
"Median Gross Household Income","2022","Rathmines West C, Dublin City","€","81350"
"Median Gross Household Income","2022","Rathmines West D, Dublin City","€","68200"
"Median Gross Household Income","2022","Rathmines West E, Dublin City","€","78300"
"Median Gross Household Income","2022","Rathmines West F, Dublin City","€","72745"
