"Statistic Label","Year","Electoral Division","UNIT","VALUE"
"Median Gross Household Income","2022","Mardyke, Cork City","€","44384"
"Median Gross Household Income","2022","Matehy, Cork City","€","80522"
"Median Gross Household Income","2022","Mayfield, Cork City","€","37639"
"Median Gross Household Income","2022","Montenotte A, Cork City","€","56039"
"Median Gross Household Income","2022","Montenotte B, Cork City","€","53658"
"Median Gross Household Income","2022","Ovens, Cork City","€","95658"
"Median Gross Household Income","2022","Pouladuff A, Cork City","€","45794"
"Median Gross Household Income","2022","Pouladuff B, Cork City","€","44105"
"Median Gross Household Income","2022","Rathcooney, Cork City","€","73843"
"Median Gross Household Income","2022","Riverstown, Cork City","€","83469"
"Median Gross Household Income","2022","Shanakiel, Cork City","€","55280"
"Median Gross Household Income","2022","Shandon A, Cork City","€","46568"
"Median Gross Household Income","2022","Shandon B, Cork City","€","40509"
"Median Gross Household Income","2022","South Gate A, Cork City","€","50314"
"Median Gross Household Income","2022","South Gate B, Cork City","€","43353"
"Median Gross Household Income","2022","St. Mary's (East), Cork City","€","76195"
"Median Gross Household Income","2022","St. Mary's (West), Cork City","€","69623"
"Median Gross Household Income","2022","St. Patrick's A, Cork City","€","43275"
"Median Gross Household Income","2022","St. Patrick's B, Cork City","€","44845"
"Median Gross Household Income","2022","St. Patrick's C, Cork City","€","44397"
"Median Gross Household Income","2022","Sunday's Well A, Cork City","€","59816"
"Median Gross Household Income","2022","Sunday's Well B, Cork City","€","50387"
"Median Gross Household Income","2022","The Glen A, Cork City","€","43367"
"Median Gross Household Income","2022","The Glen B, Cork City","€","51552"
"Median Gross Household Income","2022","The Lough, Cork City","€","45012"
"Median Gross Household Income","2022","Tivoli A, Cork City","€","53928"
"Median Gross Household Income","2022","Tivoli B, Cork City","€","59836"
"Median Gross Household Income","2022","Togher A, Cork City","€","41783"
"Median Gross Household Income","2022","Togher B, Cork City","€","45350"
"Median Gross Household Income","2022","Tramore A, Cork City","€","54038"
"Median Gross Household Income","2022","Tramore B, Cork City","€","75328"
"Median Gross Household Income","2022","Tramore C, Cork City","€","58761"
"Median Gross Household Income","2022","Turner's Cross A, Cork City","€","50931"
"Median Gross Household Income","2022","Turner's Cross B, Cork City","€","48458"
"Median Gross Household Income","2022","Turner's Cross C, Cork City","€","50891"
"Median Gross Household Income","2022","Turner's Cross D, Cork City","€","51850"
"Median Gross Household Income","2022","Whitechurch, Cork City","€","82172"
"Median Gross Household Income","2022","Abbeymahon, Cork County","€","64728"
"Median Gross Household Income","2022","Adrigole, Cork County","€","33867"
"Median Gross Household Income","2022","Aghadown North, Cork County","€","44573"
"Median Gross Household Income","2022","Aghadown South, Cork County","€","41450"
"Median Gross Household Income","2022","Aghern, Cork County","€","71436"
"Median Gross Household Income","2022","Aghinagh, Cork County","€","81453"
"Median Gross Household Income","2022","Aglish, Cork County","€","87401"
"Median Gross Household Income","2022","Ahil, Cork County","€","36266"
"Median Gross Household Income","2022","Allow, Cork County","€","57126"
"Median Gross Household Income","2022","Ardagh, Cork County","€","74822"
"Median Gross Household Income","2022","Ardfield, Cork County","€","70467"
"Median Gross Household Income","2022","Ardskeagh, Cork County","€","71100"
"Median Gross Household Income","2022","Argideen, Cork County","€","68935"
"Median Gross Household Income","2022","Aultagh, Cork County","€","65041"
"Median Gross Household Income","2022","Ballinadee, Cork County","€","68534"
"Median Gross Household Income","2022","Ballincollig, Cork County","€","97083"
"Median Gross Household Income","2022","Ballingurteen, Cork County","€","66212"
"Median Gross Household Income","2022","Ballinspittle, Cork County","€","64184"
"Median Gross Household Income","2022","Ballintemple, Cork County","€","71501"
"Median Gross Household Income","2022","Ballyarthur, Cork County","€","75627"
"Median Gross Household Income","2022","Ballybane, Cork County","€","28423"
"Median Gross Household Income","2022","Ballyclogh, Cork County","€","70266"
"Median Gross Household Income","2022","Ballycottin, Cork County","€","62316"
"Median Gross Household Income","2022","Ballydehob, Cork County","€","35141"
"Median Gross Household Income","2022","Ballyfeard, Cork County","€","79039"
"Median Gross Household Income","2022","Ballyfoyle, Cork County","€","67897"
"Median Gross Household Income","2022","Ballygarvan, Cork County","€","83478"
"Median Gross Household Income","2022","Ballygroman, Cork County","€","92694"
"Median Gross Household Income","2022","Ballyhoolahan, Cork County","€","60572"
"Median Gross Household Income","2022","Ballyhooly, Cork County","€","61006"
"Median Gross Household Income","2022","Ballymackean, Cork County","€","63081"
"Median Gross Household Income","2022","Ballymartle, Cork County","€","84538"
"Median Gross Household Income","2022","Ballymodan, Cork County","€","55333"
"Median Gross Household Income","2022","Ballymoney, Cork County","€","56495"
"Median Gross Household Income","2022","Ballymurphy, Cork County","€","92919"
"Median Gross Household Income","2022","Ballynaglogh, Cork County","€","77790"
"Median Gross Household Income","2022","Ballynamona, Cork County","€","76316"
"Median Gross Household Income","2022","Ballynoe, Cork County","€","66902"
"Median Gross Household Income","2022","Ballyspillane, Cork County","€","71031"
"Median Gross Household Income","2022","Bandon, Cork County","€","39409"
"Median Gross Household Income","2022","Banteer, Cork County","€","53378"
"Median Gross Household Income","2022","Bantry Urban, Cork County","€","38835"
"Median Gross Household Income","2022","Barleyhill, Cork County","€","55055"
"Median Gross Household Income","2022","Barnacurra, Cork County","€","56375"
"Median Gross Household Income","2022","Baurleigh, Cork County","€","77764"
"Median Gross Household Income","2022","Bawncross, Cork County","€","51274"
"Median Gross Household Income","2022","Bealanageary, Cork County, 047047","€","50259"
"Median Gross Household Income","2022","Bealanageary, Cork County, 047048","€","52409"
"Median Gross Household Income","2022","Bealock, Cork County","€","47973"
"Median Gross Household Income","2022","Bear, Cork County","€","36968"
"Median Gross Household Income","2022","Bengour, Cork County","€","69035"
"Median Gross Household Income","2022","Blackpool, Cork County","€","82427"
"Median Gross Household Income","2022","Blarney, Cork County","€","78178"
"Median Gross Household Income","2022","Boherboy, Cork County","€","51991"
"Median Gross Household Income","2022","Boulteen, Cork County","€","68543"
"Median Gross Household Income","2022","Bredagh, Cork County","€","43851"
"Median Gross Household Income","2022","Brinny, Cork County","€","76288"
"Median Gross Household Income","2022","Butlerstown, Cork County","€","71758"
"Median Gross Household Income","2022","Buttevant, Cork County","€","47490"
"Median Gross Household Income","2022","Caheragh, Cork County","€","60748"
"Median Gross Household Income","2022","Caherbarnagh, Cork County","€","70207"
"Median Gross Household Income","2022","Caherduggan, Cork County","€","66787"
"Median Gross Household Income","2022","Caherlag, Cork County","€","77250"
"Median Gross Household Income","2022","Cahermore, Cork County","€","49805"
"Median Gross Household Income","2022","Candroma, Cork County","€","58841"
"Median Gross Household Income","2022","Cannaway, Cork County","€","84417"
"Median Gross Household Income","2022","Cape Clear, Cork County","€","37311"
"Median Gross Household Income","2022","Carrig, Cork County, 047069","€","62118"
"Median Gross Household Income","2022","Carrig, Cork County, 047070","€","82517"
"Median Gross Household Income","2022","Carrigaline, Cork County, 047071","€","70934"
"Median Gross Household Income","2022","Carrigaline, Cork County, 047072","€","76295"
"Median Gross Household Income","2022","Carrigbaun, Cork County","€","47664"
"Median Gross Household Income","2022","Carrigboy, Cork County","€","56000"
"Median Gross Household Income","2022","Carrignavar, Cork County","€","83144"
"Median Gross Household Income","2022","Carrigrohanebeg, Cork County","€","88328"
"Median Gross Household Income","2022","Carrigtohill, Cork County","€","74135"
"Median Gross Household Income","2022","Cashel, Cork County","€","78192"
"Median Gross Household Income","2022","Castle Hyde, Cork County","€","79204"
"Median Gross Household Income","2022","Castlecooke, Cork County","€","65858"
"Median Gross Household Income","2022","Castlecor, Cork County","€","56468"
"Median Gross Household Income","2022","Castlehaven North, Cork County","€","48078"
"Median Gross Household Income","2022","Castlehaven South, Cork County","€","45905"
"Median Gross Household Income","2022","Castlelyons, Cork County","€","66969"
"Median Gross Household Income","2022","Castlemagner, Cork County","€","66619"
"Median Gross Household Income","2022","Castlemartyr, Cork County","€","73325"
"Median Gross Household Income","2022","Castletown, Cork County","€","62995"
"Median Gross Household Income","2022","Castletownroche, Cork County","€","44920"
"Median Gross Household Income","2022","Castleventry, Cork County","€","77265"
"Median Gross Household Income","2022","Churchtown, Cork County","€","55494"
"Median Gross Household Income","2022","Cleanrath, Cork County","€","53553"
"Median Gross Household Income","2022","Clenor, Cork County","€","65139"
"Median Gross Household Income","2022","Cloghdonnell, Cork County","€","57254"
"Median Gross Household Income","2022","Clonakilty Rural, Cork County","€","70387"
"Median Gross Household Income","2022","Clonakilty Urban, Cork County","€","47668"
"Median Gross Household Income","2022","Clondrohid, Cork County","€","58857"
"Median Gross Household Income","2022","Clonfert East, Cork County","€","43970"
"Median Gross Household Income","2022","Clonfert West, Cork County","€","33385"
"Median Gross Household Income","2022","Clonmeen, Cork County","€","68909"
"Median Gross Household Income","2022","Clonmoyle, Cork County","€","73429"
"Median Gross Household Income","2022","Clonmult, Cork County","€","74165"
"Median Gross Household Income","2022","Clonpriest, Cork County","€","58727"
"Median Gross Household Income","2022","Cloonkeen, Cork County","€","46049"
"Median Gross Household Income","2022","Cloyne, Cork County","€","67882"
"Median Gross Household Income","2022","Cobh Rural, Cork County","€","67865"
"Median Gross Household Income","2022","Cobh Urban, Cork County","€","50861"
"Median Gross Household Income","2022","Coolagh, Cork County","€","28113"
"Median Gross Household Income","2022","Coolclogh, Cork County","€","72892"
"Median Gross Household Income","2022","Coolcraheen, Cork County","€","57867"
"Median Gross Household Income","2022","Coole, Cork County","€","65117"
"Median Gross Household Income","2022","Coolmain, Cork County","€","76435"
"Median Gross Household Income","2022","Coolmountain, Cork County","€","43836"
"Median Gross Household Income","2022","Coomlogane, Cork County","€","49593"
"Median Gross Household Income","2022","Corkbeg, Cork County","€","71202"
"Median Gross Household Income","2022","Coulagh, Cork County","€","33993"
"Median Gross Household Income","2022","Courtmacsherry, Cork County","€","52647"
"Median Gross Household Income","2022","Crinnaloo, Cork County","€","62483"
"Median Gross Household Income","2022","Crookhaven, Cork County","€","37561"
"Median Gross Household Income","2022","Cullen, Cork County, 047120","€","85144"
"Median Gross Household Income","2022","Cullen, Cork County, 047121","€","53197"
"Median Gross Household Income","2022","Curraglass, Cork County","€","72811"
"Median Gross Household Income","2022","Curryglass, Cork County","€","40218"
"Median Gross Household Income","2022","Dangan, Cork County","€","79304"
"Median Gross Household Income","2022","Derragh, Cork County","€","61973"
"Median Gross Household Income","2022","Derry, Cork County","€","58302"
"Median Gross Household Income","2022","Derryfineen, Cork County","€","51673"
"Median Gross Household Income","2022","Derryvillane, Cork County","€","52696"
"Median Gross Household Income","2022","Doneraile, Cork County","€","48247"
"Median Gross Household Income","2022","Doonasleen, Cork County","€","61374"
"Median Gross Household Income","2022","Douce, Cork County","€","32351"
"Median Gross Household Income","2022","Douglas, Cork County","€","94318"
"Median Gross Household Income","2022","Drinagh, Cork County, 047133","€","50470"
"Median Gross Household Income","2022","Drinagh, Cork County, 047134","€","54555"
"Median Gross Household Income","2022","Dripsey, Cork County","€","76849"
"Median Gross Household Income","2022","Drishane, Cork County","€","57537"
"Median Gross Household Income","2022","Dromdaleague North, Cork County","€","60549"
"Median Gross Household Income","2022","Dromdaleague South, Cork County","€","49452"
"Median Gross Household Income","2022","Dromina, Cork County","€","46560"
"Median Gross Household Income","2022","Dromore, Cork County","€","68481"
"Median Gross Household Income","2022","Dunbeacon, Cork County","€","42816"
"Median Gross Household Income","2022","Dunderrow, Cork County","€","86873"
"Median Gross Household Income","2022","Dungourney, Cork County","€","85442"
"Median Gross Household Income","2022","Dunmanus, Cork County","€","48238"
"Median Gross Household Income","2022","Dunmanway North, Cork County","€","47474"
"Median Gross Household Income","2022","Dunmanway South, Cork County","€","50889"
"Median Gross Household Income","2022","Durrus East, Cork County","€","40626"
"Median Gross Household Income","2022","Durrus West, Cork County","€","37593"
"Median Gross Household Income","2022","Farahy, Cork County","€","65800"
"Median Gross Household Income","2022","Farranbrien, Cork County","€","70241"
"Median Gross Household Income","2022","Fermoy Rural, Cork County","€","55052"
"Median Gross Household Income","2022","Fermoy Urban, Cork County","€","42171"
"Median Gross Household Income","2022","Firmount, Cork County","€","86226"
"Median Gross Household Income","2022","Garranes, Cork County","€","51395"
"Median Gross Household Income","2022","Garrown, Cork County","€","51318"
"Median Gross Household Income","2022","Garryvoe, Cork County","€","81289"
"Median Gross Household Income","2022","Glanlough, Cork County","€","37512"
"Median Gross Household Income","2022","Glanworth East, Cork County","€","67703"
"Median Gross Household Income","2022","Glanworth West, Cork County","€","62897"
"Median Gross Household Income","2022","Glengarriff, Cork County","€","46203"
"Median Gross Household Income","2022","Glenlara, Cork County","€","71283"
"Median Gross Household Income","2022","Glenville, Cork County","€","83654"
"Median Gross Household Income","2022","Goleen, Cork County","€","35579"
"Median Gross Household Income","2022","Gortmore, Cork County","€","68802"
"Median Gross Household Income","2022","Gortnascreeny, Cork County","€","50461"
"Median Gross Household Income","2022","Gortnaskehy, Cork County","€","53751"
"Median Gross Household Income","2022","Gortnatubbrid, Cork County","€","57220"
"Median Gross Household Income","2022","Gortroe, Cork County","€","73745"
"Median Gross Household Income","2022","Gowlane, Cork County","€","73705"
"Median Gross Household Income","2022","Greenane, Cork County","€","52274"
"Median Gross Household Income","2022","Greenfort, Cork County","€","79717"
"Median Gross Household Income","2022","Greenville, Cork County","€","78156"
"Median Gross Household Income","2022","Ightermurragh, Cork County","€","62776"
"Median Gross Household Income","2022","Imphrick, Cork County","€","67280"
"Median Gross Household Income","2022","Inch, Cork County","€","80169"
"Median Gross Household Income","2022","Inchigeelagh, Cork County","€","54305"
"Median Gross Household Income","2022","Inishannon, Cork County","€","79478"
"Median Gross Household Income","2022","Inishkenny, Cork County","€","97617"
"Median Gross Household Income","2022","Kanturk, Cork County","€","45365"
"Median Gross Household Income","2022","Keale, Cork County","€","66942"
"Median Gross Household Income","2022","Kealkill, Cork County","€","53670"
"Median Gross Household Income","2022","Kilberrihert, Cork County","€","68194"
"Median Gross Household Income","2022","Kilbonane, Cork County","€","88005"
"Median Gross Household Income","2022","Kilbrin, Cork County","€","53513"
"Median Gross Household Income","2022","Kilbrittain, Cork County","€","68897"
"Median Gross Household Income","2022","Kilbrogan, Cork County","€","64533"
"Median Gross Household Income","2022","Kilcaskan, Cork County","€","37027"
"Median Gross Household Income","2022","Kilcatherine, Cork County","€","39130"
"Median Gross Household Income","2022","Kilcoe, Cork County","€","43063"
"Median Gross Household Income","2022","Kilcor, Cork County","€","67734"
"Median Gross Household Income","2022","Kilcorney, Cork County","€","46783"
"Median Gross Household Income","2022","Kilcronat, Cork County","€","62386"
"Median Gross Household Income","2022","Kilcullen, Cork County","€","82724"
"Median Gross Household Income","2022","Kilcummer, Cork County","€","65368"
"Median Gross Household Income","2022","Kildinan, Cork County","€","78709"
"Median Gross Household Income","2022","Kildorrery, Cork County","€","60116"
"Median Gross Household Income","2022","Kilfaughnabeg, Cork County","€","43102"
"Median Gross Household Income","2022","Kilgullane, Cork County","€","58278"
"Median Gross Household Income","2022","Kilkerranmore, Cork County","€","55155"
"Median Gross Household Income","2022","Killaconenagh, Cork County","€","41802"
"Median Gross Household Income","2022","Killathy, Cork County","€","78637"
"Median Gross Household Income","2022","Killeagh, Cork County, 047202","€","65642"
"Median Gross Household Income","2022","Killeagh, Cork County, 047203","€","87795"
"Median Gross Household Income","2022","Killeenleagh, Cork County","€","51683"
"Median Gross Household Income","2022","Kilmacdonogh, Cork County","€","63175"
"Median Gross Household Income","2022","Kilmaclenine, Cork County","€","57354"
"Median Gross Household Income","2022","Kilmaloda East, Cork County","€","68024"
"Median Gross Household Income","2022","Kilmaloda West, Cork County","€","66727"
"Median Gross Household Income","2022","Kilmeen, Cork County","€","51913"
"Median Gross Household Income","2022","Kilmonoge, Cork County","€","76900"
"Median Gross Household Income","2022","Kilmoylerane, Cork County","€","78519"
"Median Gross Household Income","2022","Kilnagross, Cork County","€","64396"
"Median Gross Household Income","2022","Kilnamanagh, Cork County","€","35477"
"Median Gross Household Income","2022","Kilnamartery, Cork County","€","70299"
"Median Gross Household Income","2022","Kilpatrick, Cork County","€","78352"
"Median Gross Household Income","2022","Kilphelan, Cork County","€","57205"
"Median Gross Household Income","2022","Kilshannig, Cork County","€","65879"
"Median Gross Household Income","2022","Kilworth, Cork County","€","66444"
"Median Gross Household Income","2022","Kinneigh, Cork County","€","62771"
"Median Gross Household Income","2022","Kinsale Rural, Cork County","€","72076"
"Median Gross Household Income","2022","Kinsale Urban, Cork County","€","48400"
"Median Gross Household Income","2022","Kinure, Cork County","€","68267"
"Median Gross Household Income","2022","Knockantota, Cork County","€","83332"
"Median Gross Household Income","2022","Knockatooan, Cork County","€","44933"
"Median Gross Household Income","2022","Knockavilly, Cork County","€","85393"
"Median Gross Household Income","2022","Knockmourne, Cork County","€","64942"
"Median Gross Household Income","2022","Knocknagree, Cork County","€","51709"
"Median Gross Household Income","2022","Knockraha, Cork County","€","89180"
"Median Gross Household Income","2022","Knockroe, Cork County","€","83438"
"Median Gross Household Income","2022","Knocks, Cork County","€","68096"
"Median Gross Household Income","2022","Knockskagh, Cork County","€","54181"
"Median Gross Household Income","2022","Knocktemple, Cork County","€","52798"
"Median Gross Household Income","2022","Laherne, Cork County","€","64766"
"Median Gross Household Income","2022","Leighmoney, Cork County","€","93837"
"Median Gross Household Income","2022","Leitrim, Cork County","€","98289"
"Median Gross Household Income","2022","Liscarroll, Cork County","€","54309"
"Median Gross Household Income","2022","Liscleary, Cork County","€","84762"
"Median Gross Household Income","2022","Lisgoold, Cork County","€","86632"
"Median Gross Household Income","2022","Lowertown, Cork County","€","38466"
"Median Gross Household Income","2022","Macloneigh, Cork County","€","64437"
"Median Gross Household Income","2022","Macroom Urban, Cork County","€","52184"
"Median Gross Household Income","2022","Magourney, Cork County","€","64056"
"Median Gross Household Income","2022","Mallow North Urban, Cork County","€","53319"
"Median Gross Household Income","2022","Mallow Rural, Cork County","€","58365"
"Median Gross Household Income","2022","Mallow South Urban, Cork County","€","42885"
"Median Gross Household Income","2022","Manch, Cork County","€","66678"
"Median Gross Household Income","2022","Marshalstown, Cork County","€","64381"
"Median Gross Household Income","2022","Mashanaglass, Cork County","€","72386"
"Median Gross Household Income","2022","Matehy, Cork County","€","87985"
"Median Gross Household Income","2022","Mealagh, Cork County","€","42297"
"Median Gross Household Income","2022","Meens, Cork County","€","45832"
"Median Gross Household Income","2022","Midleton Rural, Cork County","€","70840"
"Median Gross Household Income","2022","Midleton Urban, Cork County","€","48568"
"Median Gross Household Income","2022","Milane, Cork County","€","58503"
"Median Gross Household Income","2022","Milford, Cork County","€","53681"
"Median Gross Household Income","2022","Milltown, Cork County","€","72088"
"Median Gross Household Income","2022","Mitchelstown, Cork County","€","50579"
"Median Gross Household Income","2022","Mogeely, Cork County","€","73391"
"Median Gross Household Income","2022","Monanimy, Cork County","€","60294"
"Median Gross Household Income","2022","Monkstown Rural, Cork County","€","69145"
"Median Gross Household Income","2022","Monkstown Urban, Cork County","€","64106"
"Median Gross Household Income","2022","Mountrivers, Cork County","€","60640"
"Median Gross Household Income","2022","Moviddy, Cork County","€","81536"
"Median Gross Household Income","2022","Murragh, Cork County","€","90522"
"Median Gross Household Income","2022","Myross, Cork County","€","51065"
"Median Gross Household Income","2022","Nad, Cork County","€","73318"
"Median Gross Household Income","2022","Newmarket, Cork County","€","46454"
"Median Gross Household Income","2022","Newtown, Cork County","€","64547"
"Median Gross Household Income","2022","Nohaval, Cork County","€","88240"
"Median Gross Household Income","2022","Ovens, Cork County","€","85498"
"Median Gross Household Income","2022","Rahalisk, Cork County","€","61352"
"Median Gross Household Income","2022","Rahan, Cork County","€","68075"
"Median Gross Household Income","2022","Rathbarry, Cork County","€","52465"
"Median Gross Household Income","2022","Rathclarin, Cork County","€","73833"
"Median Gross Household Income","2022","Rathcool, Cork County","€","64966"
"Median Gross Household Income","2022","Rathcooney, Cork County","€","85538"
"Median Gross Household Income","2022","Rathcormack, Cork County","€","64409"
"Median Gross Household Income","2022","Rathluirc, Cork County","€","43571"
"Median Gross Household Income","2022","Riverstown, Cork County","€","79252"
"Median Gross Household Income","2022","Roskeen, Cork County","€","69522"
"Median Gross Household Income","2022","Rosnalee, Cork County","€","56615"
"Median Gross Household Income","2022","Rosscarbery, Cork County","€","56327"
"Median Gross Household Income","2022","Rossmore, Cork County","€","53114"
"Median Gross Household Income","2022","Rostellan, Cork County","€","75388"
"Median Gross Household Income","2022","Rowls, Cork County","€","53396"
"Median Gross Household Income","2022","Scart, Cork County","€","69161"
"Median Gross Household Income","2022","Seefin, Cork County","€","34460"
"Median Gross Household Income","2022","Shanballymore, Cork County","€","57798"
"Median Gross Household Income","2022","Sheepshead, Cork County","€","27636"
"Median Gross Household Income","2022","Shreelane, Cork County","€","62757"
"Median Gross Household Income","2022","Skagh, Cork County","€","72996"
"Median Gross Household Income","2022","Skahanagh, Cork County","€","55475"
"Median Gross Household Income","2022","Skibbereen Rural, Cork County","€","54260"
"Median Gross Household Income","2022","Skibbereen Urban, Cork County","€","38167"
"Median Gross Household Income","2022","Skull, Cork County","€","37480"
"Median Gross Household Income","2022","Slievereagh, Cork County","€","50844"
"Median Gross Household Income","2022","Springfort, Cork County","€","57063"
"Median Gross Household Income","2022","Streamhill, Cork County","€","59338"
"Median Gross Household Income","2022","Teadies, Cork County","€","58905"
"Median Gross Household Income","2022","Teerelton, Cork County","€","66600"
"Median Gross Household Income","2022","Templebodan, Cork County","€","77034"
"Median Gross Household Income","2022","Templebreedy, Cork County","€","70295"
"Median Gross Household Income","2022","Templemartin, Cork County","€","83871"
"Median Gross Household Income","2022","Templemary, Cork County","€","55400"
"Median Gross Household Income","2022","Templemichael, Cork County","€","87416"
"Median Gross Household Income","2022","Templemolaga, Cork County","€","60719"
"Median Gross Household Income","2022","Templenacarriga, Cork County","€","86835"
"Median Gross Household Income","2022","Templeomalus, Cork County","€","61058"
"Median Gross Household Income","2022","Timoleague, Cork County","€","56986"
"Median Gross Household Income","2022","Tincoora, Cork County","€","57285"
"Median Gross Household Income","2022","Toormore, Cork County","€","32638"
"Median Gross Household Income","2022","Tullagh, Cork County","€","49161"
"Median Gross Household Income","2022","Tullylease, Cork County","€","52218"
"Median Gross Household Income","2022","Ullanes, Cork County","€","66519"
"Median Gross Household Income","2022","Wallstown, Cork County","€","55683"
"Median Gross Household Income","2022","Warrenscourt, Cork County","€","72067"
"Median Gross Household Income","2022","Watergrasshill, Cork County","€","82126"
"Median Gross Household Income","2022","Whiddy/Bantry Rural, Cork County","€","53875"
"Median Gross Household Income","2022","Whitechurch, Cork County","€","87265"
"Median Gross Household Income","2022","Williamstown, Cork County","€","50075"
"Median Gross Household Income","2022","Woodfort, Cork County","€","50935"
"Median Gross Household Income","2022","Youghal Rural, Cork County","€","63492"
"Median Gross Household Income","2022","Youghal Urban, Cork County","€","42645"
"Median Gross Household Income","2022","Abbeydorney, Kerry","€","51069"
"Median Gross Household Income","2022","Aghadoe, Kerry","€","57609"
"Median Gross Household Income","2022","Aglish, Kerry","€","60458"
"Median Gross Household Income","2022","Arabela, Kerry","€","62704"
"Median Gross Household Income","2022","Ardagh, Kerry","€","45852"
"Median Gross Household Income","2022","Ardea, Kerry","€","34251"
"Median Gross Household Income","2022","Ardfert, Kerry","€","43276"
"Median Gross Household Income","2022","Astee, Kerry","€","50003"
"Median Gross Household Income","2022","Bahaghs, Kerry","€","39759"
"Median Gross Household Income","2022","Ballincloher, Kerry","€","53829"
"Median Gross Household Income","2022","Ballinskelligs, Kerry","€","40098"
"Median Gross Household Income","2022","Ballinvoher, Kerry","€","47314"
"Median Gross Household Income","2022","Ballybrack, Kerry","€","44369"
"Median Gross Household Income","2022","Ballyconry, Kerry","€","53793"
"Median Gross Household Income","2022","Ballyduff, Kerry, 077015","€","38858"
"Median Gross Household Income","2022","Ballyduff, Kerry, 077016","€","44144"
"Median Gross Household Income","2022","Ballyegan, Kerry, 077017","€","67152"
"Median Gross Household Income","2022","Ballyegan, Kerry, 077018","€","46527"
"Median Gross Household Income","2022","Ballyhar, Kerry","€","54505"
"Median Gross Household Income","2022","Ballyheige, Kerry","€","44008"
"Median Gross Household Income","2022","Ballyhorgan, Kerry","€","57996"
"Median Gross Household Income","2022","Ballynacourty, Kerry","€","58125"
"Median Gross Household Income","2022","Ballynahaglish, Kerry","€","59942"
"Median Gross Household Income","2022","Ballynorig, Kerry","€","63042"
"Median Gross Household Income","2022","Ballyseedy, Kerry","€","56324"
"Median Gross Household Income","2022","Banawn, Kerry","€","47846"
"Median Gross Household Income","2022","Banna, Kerry","€","50761"
"Median Gross Household Income","2022","Baurtregaum, Kerry","€","52200"
"Median Gross Household Income","2022","Beal, Kerry","€","48509"
"Median Gross Household Income","2022","Blennerville, Kerry","€","58919"
"Median Gross Household Income","2022","Boolteens, Kerry","€","58181"
"Median Gross Household Income","2022","Brandon, Kerry","€","47497"
"Median Gross Household Income","2022","Brewsterfield, Kerry","€","71108"
"Median Gross Household Income","2022","Brosna, Kerry","€","44978"
"Median Gross Household Income","2022","Caher, Kerry","€","38743"
"Median Gross Household Income","2022","Caherdaniel, Kerry","€","32208"
"Median Gross Household Income","2022","Cappagh, Kerry","€","46799"
"Median Gross Household Income","2022","Caragh, Kerry","€","50343"
"Median Gross Household Income","2022","Carker, Kerry","€","49383"
"Median Gross Household Income","2022","Carrig, Kerry","€","38032"
"Median Gross Household Income","2022","Castlecove, Kerry","€","29480"
"Median Gross Household Income","2022","Castlegregory, Kerry","€","42796"
"Median Gross Household Income","2022","Castleisland, Kerry","€","49560"
"Median Gross Household Income","2022","Castlequin, Kerry","€","50755"
"Median Gross Household Income","2022","Causeway, Kerry","€","45171"
"Median Gross Household Income","2022","Churchtown, Kerry","€","62369"
"Median Gross Household Income","2022","Cloghane, Kerry","€","47801"
"Median Gross Household Income","2022","Clogherbrien, Kerry","€","65988"
"Median Gross Household Income","2022","Cloontubbrid, Kerry","€","48457"
"Median Gross Household Income","2022","Clydagh, Kerry","€","53322"
"Median Gross Household Income","2022","Coolies, Kerry","€","68117"
"Median Gross Household Income","2022","Coom, Kerry","€","59186"
"Median Gross Household Income","2022","Cordal, Kerry","€","49817"
"Median Gross Household Income","2022","Crinny, Kerry","€","56839"
"Median Gross Household Income","2022","Curraghbeg, Kerry","€","48290"
"Median Gross Household Income","2022","Curraghmore, Kerry","€","59013"
"Median Gross Household Income","2022","Currans, Kerry","€","59138"
"Median Gross Household Income","2022","Darrynane, Kerry","€","42103"
"Median Gross Household Income","2022","Dawros, Kerry","€","42601"
"Median Gross Household Income","2022","Deelis, Kerry","€","49212"
"Median Gross Household Income","2022","Derreen, Kerry","€","55183"
"Median Gross Household Income","2022","Derriana/Cloon, Kerry","€","31804"
"Median Gross Household Income","2022","Dingle, Kerry","€","39714"
"Median Gross Household Income","2022","Doocarrig, Kerry","€","70352"
"Median Gross Household Income","2022","Doon, Kerry","€","69214"
"Median Gross Household Income","2022","Dromin, Kerry","€","64173"
"Median Gross Household Income","2022","Drommartin, Kerry","€","53921"
"Median Gross Household Income","2022","Dromore, Kerry","€","37329"
"Median Gross Household Income","2022","Duagh, Kerry","€","53217"
"Median Gross Household Income","2022","Dunloe, Kerry","€","62160"
"Median Gross Household Income","2022","Dunquin, Kerry","€","47586"
"Median Gross Household Income","2022","Dunurlin, Kerry","€","41975"
"Median Gross Household Income","2022","Emlagh, Kerry","€","43233"
"Median Gross Household Income","2022","Ennismore, Kerry","€","40566"
"Median Gross Household Income","2022","Flesk, Kerry","€","60416"
"Median Gross Household Income","2022","Glanbehy, Kerry","€","42233"
"Median Gross Household Income","2022","Glanlee, Kerry","€","56268"
"Median Gross Household Income","2022","Glanlough, Kerry","€","43826"
"Median Gross Household Income","2022","Glanmore, Kerry","€","36969"
"Median Gross Household Income","2022","Glinn, Kerry","€","52928"
"Median Gross Household Income","2022","Gneeves, Kerry","€","50372"
